1000	
1000000	
1090000	
2000000	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000100	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000200	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000300	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000400	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000500	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000600	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000700	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
2000800	Foreign-made weapon wielded by the royal guards who protect Annalise, Queen of the Vilebloods at Cainhurst Castle.//When the intricate, rippled engraving that spans the Chikage's blade is imbrued with blood, the sword sings in scarlet hues. //However, the rite eats away at the wielder's very essence.
